station_id,station_name,lat,lon
31605,3rd & D St SE,38.8851,-77.0023
31606,Potomac & Pennsylvania Ave SE,38.8803,-76.9862
31607,13th & E St SE,38.88291524238381,-76.98790684720612
31608,8th & Eye St SE / Barracks Row,38.8792,-76.9953
31609,Maine Ave & 7th St SW,38.87869379969848,-77.02305418067169
31610,Eastern Market / 7th & North Carolina Ave SE,38.886952,-76.996806
31611,13th & H St NE,38.900426869940496,-76.98825000858307
31612,D St & Maryland Ave NE,38.894799500000005,-76.99651499999999
31613,Eastern Market Metro / Pennsylvania Ave & 8th St SE,38.8840475,-76.9953155
31614,11th & H St NE,38.899983,-76.991383
31615,6th & H St NE,38.899972,-76.998347
31616,3rd & H St NE,38.900412,-77.001949
31617,Bladensburg Rd & Benning Rd NE,38.900413,-76.982872
31618,4th & East Capitol St NE,38.889955,-77.000349
31619,Lincoln Park / 13th & East Capitol St NE ,38.890461,-76.988355
31620,5th & F St NW,38.897222,-77.019347
31621,4th & D St NW / Judiciary Square,38.895344,-77.016106
31622,13th & D St NE,38.894832,-76.987633
31623,Columbus Circle / Union Station,38.89696,-77.00493
31624,North Capitol St & F St NW,38.897446,-77.009888
31625,3rd & G St SE,38.881185,-77.001828
31626,15th St & Massachusetts Ave SE,38.88732,-76.983569
31627,3rd & M St NE,38.90546985747164,-77.0021302244091
31628,1st & K St SE,38.87885418903164,-77.00572714555358
31629,8th & East Capitol St NE,38.889988,-76.995193
31630,15th & East Capitol St NE,38.889908,-76.983326
31631,8th & F St NE,38.897274,-76.994749
31632,15th & F St NE,38.897195,-76.983575
31633,Independence Ave & L'Enfant Plaza SW/DOE,38.887312,-77.025762
31634,3rd & Tingey St SE,38.87501,-77.0024
31635,Potomac Ave & 8th St SE,38.876737,-76.994468
31636,New Jersey Ave & N St NW/Dunbar HS,38.90733278055724,-77.01536022239208
31637,North Capitol St & G Pl NE,38.899703,-77.008911
31638,1st & H St NW,38.900358,-77.012108
31639,2nd & G St NE,38.89967,-77.003666
31640,Maryland Ave & E St NE,38.89618,-76.992843
31641,2nd St & Massachusetts Ave NE,38.894972,-77.003135
31642,4th St & K St NW,38.902405782920965,-77.01600575802613
31643,1st & D St SE,38.884916,-77.005965
31644,12th St & Pennsylvania Ave SE,38.882489,-76.990121
31645,6th & K St NE,38.90293178679559,-76.99840493024826
31646,Maine Ave & 9th St SW,38.88044,-77.025236
31647,7th St & Massachusetts Ave NE,38.89222,-76.99602
31648,Potomac Ave & Half St SW,38.86994202277852,-77.01082594964026
31650,1st & M St SE,38.876893,-77.006072
31652,4th & M St SE,38.876751,-77.000736
31653,7th & K St NW,38.902674,-77.021392
31654,King Greenleaf Rec Center,38.876211,-77.012443
31655,New Jersey Ave & F St NW,38.897108,-77.011616
31656,Maryland Ave & 17th St NE,38.901935,-76.978627
31657,Massachusetts Ave & 6th St NE,38.892934,-76.998273
