station_id,x,y
31206,-1795.9931439988761,-290.5421855056642
31207,58.03491290342142,3015.6275116312195
31208,1661.0597938622689,-2394.4683564113134
31209,1487.7828964138257,-2617.106046454486
31211,-2833.000982424627,-57.55184287632349
31212,-2094.393320151142,858.8805487633692
31213,-1365.3326241855143,551.0282828562791
31214,-1371.3067196627298,1590.7462953568122
31215,-3145.6904913373305,496.2148835678463
31216,-763.7714170882605,202.82293562876006
31217,-465.43463430746266,-1283.8432972756757
31218,54.49834742825812,-1285.0647469276967
31219,-272.30548829993654,-532.3267168924343
31220,-2054.783100240468,-321.8227809568126
31221,-1638.1066826638657,807.8338760203944
31222,-908.2838184938292,136.05078453849475
31223,51.97857877547188,882.4244844852859
31224,-1696.4355896883283,660.2571677337631
31225,-3449.6932796672977,661.2339394276931
31226,-3926.6855770332395,2074.092720440081
31227,-602.2815962612653,275.29150373826326
31228,-18.713083837096207,210.3926170908813
31229,-1329.3469852904998,1973.9057599206133
31230,-433.0906763410017,61.67064014200078
31231,-757.8209312821701,-366.9069131905728
31232,58.83935351161514,-58.66232969907673
31233,-1338.6563166249935,473.21641018658136
31234,-1898.0420900104211,1235.0825855127032
31235,-1796.0298137374746,-613.3668360683042
31236,-4225.9721074027075,1105.3961310626798
31237,-2652.2426542615626,669.8054904940599
31238,-815.0661716391357,66.67998816797413
31239,-1466.8360433646837,911.2393670264918
31240,-2053.4663687098687,-1523.9549883433065
31241,-834.2552317649786,900.5694562238467
31242,-1617.3824598979872,208.16624018974562
31243,447.87071757646186,-1273.2682585705527
31244,470.0445168883398,-1523.9549883433065
31245,61.93809413467237,1659.6526604251312
31246,-2946.938203231537,814.4086701772632
31247,-828.1189483765718,-1030.4785483633511
31248,-499.66045855245335,-1006.2666995714102
31249,-1260.1040304636563,-2002.7373407811456
31250,-1898.892902655899,642.7550111541201
31251,-479.07570486131334,668.9149397337637
31252,-2052.6947547840787,415.10797308497393
31253,-1775.978957937016,489.13500502400655
31254,-923.5103847186631,466.4259606400159
31255,-2481.962052989563,978.492647738285
31256,-276.7184401763835,-211.0605301609056
31257,-2256.0341078902416,341.74885421596565
31258,-2301.331649052671,-1063.874201870104
31259,-1928.381569337254,-343.75259342603863
31260,-2340.23434777719,-189.90994960644434
31261,-2053.08590707705,-595.6671397094958
31262,-355.6398425470696,5.231985716245127
31263,-290.2205511174567,510.9534986484922
31264,253.84868026828832,-360.3391013342791
31265,363.25593041670027,347.31479646722295
31266,-377.2782335264637,866.3945708023293
31267,-1341.8042857399219,1150.146306761428
31268,-456.4230317783731,2112.497721972016
31269,1812.120848742311,-1161.2781912639425
31270,-32.05591394711978,-329.3924624181428
31271,775.6805476381545,-616.1498071939328
31272,788.5325500265636,-1205.8057292724188
31273,-637.7264760323915,-2157.025259980492
31274,-291.54855859263284,48.21707581085942
