station_id,x,y
31256,-828.866144832659,38.85027691326964
31257,-2808.2773936322506,-513.9591074636016
31258,-2853.3723100320794,891.6639486224678
31259,-2480.5270214080465,171.54234017840264
31260,-2892.402588299826,17.69969635880834
31261,-2605.1986538763904,423.4568864618599
31262,-907.7930782432848,-177.44223896388112
31263,-842.3816240987607,-683.1637518961281
31264,-298.2969459159975,188.1288480866431
31265,-188.8735464652516,-519.5250497148589
31266,-929.4525001462196,-1038.6048240499654
31267,-1894.0765139831674,-1322.3565600090637
31268,-1008.6393466202468,-2284.707975219652
31269,1259.8818657302877,989.0679380163066
31270,-584.201315024888,157.18220917050687
31271,223.52184655210002,443.9395539462969
31272,236.34422431908067,1033.5954760247828
31273,-1189.7987514110014,1984.8150067328563
31274,-843.7011695816313,-220.42732905849542
31275,-2996.5410888062315,-611.3630968574403
31276,-1592.837274168058,-822.8132429757283
31277,-2013.0446574339132,-225.79075245446842
31278,-2195.1424784234973,-1823.9592756756338
31279,-2311.9300813208715,-239.22419795062225
31280,-912.1249626238716,-1947.857150184919
31281,-543.4816018481092,-1377.793344829783
31282,-1713.783486068777,-1824.4045510561773
31283,-1320.3617466378792,-823.2028589331105
31284,-2170.01754901757,306.34946149993095
31285,-2792.422696799228,-1461.7277539760219
31286,-922.0882966995911,-1354.416387375768
31287,-824.1944534827929,1329.162363396306
31288,-65.24156624682065,642.142757506466
31289,-2848.997106809029,636.9107717910118
31290,-1891.1308326045162,909.029688445473
31291,-1555.499352562064,-542.4818752125246
31292,-2811.396350385682,425.46062567272384
31293,-3821.678425592958,-729.9176668049492
31294,-454.3314212995938,1426.3283612599873
31295,-4215.100165025086,-1013.5580839200984
31296,-2104.4328194970344,-3097.446862721063
31297,-3262.605427452305,-360.3391013342791
31298,-1574.8166351441266,-1019.791939240589
31299,-2524.8855174638293,-1823.5140002958813
31312,-4079.6854592920504,-1361.0955180768024
31321,-1450.058364987162,447.3904381419498
31323,-3061.4327168251834,-3019.6349900513655
31324,-2194.7092899865465,-1670.339269546311
31500,1373.1173234348175,-2539.6281303190094
31503,259.6497622861215,-1818.6159711146481
31505,1000.4019913418697,-1637.3888914201018
31506,364.56800198026895,-2132.201157540106
31508,1940.4209018972315,-982.6114450039621
31509,-101.54275735562236,-1825.183782970942
31510,3255.23444904906,-3432.182629700983
31512,2537.267931834781,-831.4404534644652
31513,1018.0760796137781,-2436.9921552089254
31514,1672.3638964362608,-3476.9328053997306
31516,1786.5523687045445,-2718.294876578199
31517,1683.1069696997222,-1296.3079502741607
31518,2842.9256937190985,-2153.0177815595553
31519,357.98353772138273,-1378.1273013647951
31520,3861.7848999989274,-1821.955536465561
31522,1120.8255084078955,-2058.068864235805
31523,753.4845816557994,-2085.7811991662975
31524,2571.749731503465,-1244.6560061841067
31525,2882.952305394294,-1117.1959286344277
31526,2650.849940290102,-3121.0464578661404
31527,667.0201694225339,-1810.1557388930216
31529,1247.492676401489,-3103.680718042345
31600,-219.19673712812917,-754.4078127095321
